date,expiry,T,merton_sigma,merton_lam,merton_muJ,merton_delta,merton_rmse,sabr_rmse,js_rmse
2024-08-09,2024-08-16,0.0192,0.4955,10.8885,-0.1018,0.0985,0.02926,0.014697,0.014703
2024-08-09,2024-08-30,0.0575,0.5138,0.9963,-0.1,0.2292,0.016729,0.009043,0.008952
2024-08-09,2024-08-23,0.0383,0.5292,0.9989,0.1,0.1748,0.01759,0.007297,0.007042
2024-08-09,2024-09-27,0.1342,0.458,1.0128,0.1,0.3684,0.010752,0.009497,0.009497
2024-08-16,2024-11-08,0.23,0.4535,1.0217,-0.1,0.4775,0.001962,0.003825,0.001602
2024-08-16,2024-12-27,0.3641,0.4531,1.0196,0.1,0.4866,0.002083,0.001064,0.001084
2024-08-16,2024-09-27,0.115,0.4696,1.0085,-0.1,0.3028,0.004712,0.007473,0.004153
2024-08-16,2024-10-25,0.1916,0.4594,1.0088,0.1,0.3472,0.002808,0.002565,0.00257
2024-08-16,2024-08-30,0.0383,0.4811,0.9968,-0.1,0.2567,0.01629,0.014064,0.013265
2024-08-16,2024-08-23,0.0192,0.4563,3.2593,-0.1006,0.1677,0.025559,0.019132,0.019132
2024-08-16,2024-09-06,0.0575,0.4711,1.003,0.1,0.2492,0.007008,0.003126,0.002901
2024-08-23,2024-12-27,0.345,0.4255,1.0142,-0.1,0.554,0.003294,0.003168,0.00317
2024-08-23,2024-10-25,0.1725,0.4605,1.0104,0.1,0.3469,0.006863,0.005977,0.005805
2024-08-23,2024-09-27,0.0958,0.4506,1.0114,0.1,0.3473,0.011448,0.005294,0.005295
2024-08-23,2024-11-08,0.2108,0.4815,1.0222,-0.1,0.4502,0.005364,0.003006,0.002997
2024-08-23,2024-09-06,0.0383,0.4622,1.0009,0.1,0.2095,0.005699,0.00739,0.005248
2024-08-23,2024-09-13,0.0575,0.4734,1.0008,0.1,0.214,0.00396,0.004858,0.004155
2024-08-30,2024-11-29,0.2491,0.489,1.0187,0.1,0.3943,0.001971,0.001767,0.001769
2024-08-30,2024-09-06,0.0192,0.4297,2.1928,-0.1,0.1314,0.008094,0.011927,0.005488
2024-08-30,2024-09-13,0.0383,0.4421,1.0003,0.1,0.206,0.007881,0.009032,0.009033
2024-08-30,2024-09-20,0.0575,0.4538,1.0037,0.1,0.2473,0.00722,0.008305,0.008301
2024-08-30,2024-09-27,0.0767,0.4481,1.0074,-0.1,0.2756,0.010272,0.003031,0.003256
2024-08-30,2024-10-25,0.1533,0.4616,1.0057,-0.1,0.2798,0.003065,0.002192,0.00551
2024-08-30,2024-11-08,0.1916,0.4993,1.002,0.1,0.3634,0.001618,0.002498,0.002514
2024-08-30,2024-12-27,0.3258,0.4979,1.0177,-0.1,0.4048,0.002173,0.002776,0.002159
2024-09-06,2024-12-27,0.3066,0.5063,1.0189,-0.1,0.4144,0.004807,0.003575,0.003585
2024-09-06,2024-11-08,0.1725,0.5612,1.0007,0.1,0.2956,0.005025,0.004125,0.00412
2024-09-06,2024-11-29,0.23,0.5742,1.0084,0.1,0.2606,0.005093,0.005047,0.002957
2024-09-06,2024-10-25,0.1342,0.5119,1.0009,-0.1,0.2633,0.005884,0.006421,0.004638
2024-09-06,2024-09-20,0.0383,0.5508,0.9837,0.1,0.1981,0.017139,0.010848,0.01088
2024-09-06,2024-09-27,0.0575,0.5326,0.988,0.1,0.2349,0.015562,0.012223,0.011964
2024-09-06,2024-09-13,0.0192,0.638,1.0134,0.1,0.0083,0.065943,0.028822,0.028693
2024-09-13,2024-11-29,0.2108,0.5174,1.015,0.1,0.3359,0.003328,0.003583,0.003578
2024-09-13,2024-11-08,0.1533,0.512,1.0101,-0.1,0.3366,0.001826,0.002244,0.001493
2024-09-13,2024-10-25,0.115,0.4398,1.0117,0.1,0.3485,0.002847,0.002545,0.002488
2024-09-13,2024-12-27,0.2875,0.486,1.0137,0.1,0.4105,0.002104,0.002886,0.00172
2024-09-13,2024-09-27,0.0383,0.4757,1.0002,0.1,0.2208,0.008976,0.005672,0.004236
2024-09-13,2024-10-04,0.0575,0.4589,1.0053,-0.1,0.2644,0.005741,0.003548,0.003107
2024-09-20,2024-10-04,0.0383,0.4586,1.0012,-0.1,0.2228,0.010614,0.011256,0.010759
2024-09-20,2024-10-11,0.0575,0.4469,1.0067,0.1,0.2751,0.008115,0.005589,0.005589
2024-09-20,2024-10-25,0.0958,0.4599,1.0062,-0.1,0.2723,0.005737,0.004479,0.004479
2024-09-20,2024-11-08,0.1342,0.5083,1.0087,0.1,0.3361,0.004526,0.002407,0.002407
2024-09-20,2024-11-29,0.1916,0.4898,1.0235,0.1,0.3768,0.00438,0.003178,0.003176
2024-09-20,2024-12-27,0.2683,0.4855,1.0171,-0.1,0.3895,0.008503,0.006026,0.006027
2024-09-27,2024-12-27,0.2491,0.4386,1.0191,-0.1,0.4397,0.00846,0.007456,0.007455
2024-09-27,2024-11-29,0.1725,0.4834,1.0102,-0.1,0.3463,0.003717,0.003413,0.003157
2024-09-27,2024-10-25,0.0767,0.4464,1.006,-0.1,0.2666,0.007419,0.005788,0.003859
2024-09-27,2024-11-08,0.115,0.4955,1.0103,0.1,0.3317,0.006212,0.006093,0.006093
2024-09-27,2024-10-11,0.0383,0.4518,1.0031,-0.1,0.2109,0.009502,0.006554,0.00652
2024-09-27,2024-10-04,0.0192,0.3361,17.7025,-0.1,0.079,0.024309,0.012241,0.012185
2024-09-27,2024-10-18,0.0575,0.4336,1.0065,0.1,0.2576,0.008761,0.004463,0.004464
2024-10-04,2024-10-11,0.0192,0.461,1.0011,0.1,0.1731,0.009338,0.009644,0.00883
2024-10-04,2024-10-18,0.0383,0.4506,1.0005,-0.1,0.1785,0.009462,0.008528,0.008677
2024-10-04,2024-10-25,0.0575,0.4527,1.0025,-0.1,0.2378,0.006406,0.005319,0.005359
2024-10-04,2024-11-08,0.0958,0.508,1.0072,0.1,0.3047,0.003782,0.004297,0.003305
2024-10-04,2024-11-29,0.1533,0.4841,1.011,-0.1,0.352,0.005042,0.004141,0.004136
2024-10-04,2024-12-27,0.23,0.4492,1.0189,0.1,0.4163,0.004901,0.002884,0.002861
2024-10-11,2024-12-27,0.2108,0.4075,1.0194,-0.1,0.4434,0.004536,0.004284,0.003598
2024-10-11,2024-11-29,0.1342,0.458,1.0108,-0.1,0.3459,0.005851,0.005363,0.005364
2024-10-11,2024-11-08,0.0767,0.4724,1.011,0.1,0.3338,0.006407,0.003307,0.006613
2024-10-11,2024-11-01,0.0575,0.4071,1.0088,-0.1,0.2827,0.009867,0.002166,0.002335
2024-10-11,2024-10-18,0.0192,0.4019,1.0008,-0.1,0.1461,0.012643,0.007985,0.010545
2024-10-11,2024-10-25,0.0383,0.3136,11.5436,-0.1,0.1016,0.008388,0.008397,0.008398
2024-10-18,2024-10-25,0.0192,0.3637,5.8341,0.1001,0.1192,0.02672,0.027371,0.020648
2024-10-18,2024-11-01,0.0383,0.3504,7.4299,0.1,0.1196,0.009535,0.007804,0.007804
2024-10-18,2024-11-08,0.0575,0.4827,1.0153,-0.1,0.3507,0.012674,0.004213,0.004213
2024-10-18,2024-11-29,0.115,0.4644,1.0112,-0.1,0.3563,0.008429,0.007679,0.007679
