instrument,currency,expiry,strike,option_type,T,underlying_price,mark_iv,bid_iv,ask_iv,mark_price,open_interest,volume,moneyness
BTC-26JUN26-76000-C,BTC,2026-06-26,76000.0,C,0.27767201716952494,74441.63,0.49219999999999997,0.48829999999999996,0.4954,0.0943,104.0,0.6,1.020934119792917
BTC-26JUN26-78000-C,BTC,2026-06-26,78000.0,C,0.27767200518863916,74439.89,0.48829999999999996,0.4844,0.4915,0.0828,261.7,7.7,1.0478252990432952
BTC-26JUN26-80000-C,BTC,2026-06-26,80000.0,C,0.2776719929510483,74439.89,0.4849,0.4827,0.4876,0.0725,1735.7,30.4,1.0746926144033797
BTC-26JUN26-82000-C,BTC,2026-06-26,82000.0,C,0.2776719797223806,74436.23,0.4843,0.4788,0.48369999999999996,0.0636,236.4,0.9,1.101614093029698
BTC-26JUN26-84000-C,BTC,2026-06-26,84000.0,C,0.27767196787876774,74436.23,0.4824,0.47759999999999997,0.4827,0.0555,195.7,6.1,1.1284827294450566
BTC-26JUN26-85000-C,BTC,2026-06-26,85000.0,C,0.2776719548853208,74436.23,0.48100000000000004,0.4753,0.4805,0.0516,2210.8,19.5,1.1419170476527358
BTC-26JUN26-86000-C,BTC,2026-06-26,86000.0,C,0.2776719424030028,74436.85,0.48009999999999997,0.47450000000000003,0.47979999999999995,0.0481,148.7,24.3,1.1553417426986767
BTC-26JUN26-88000-C,BTC,2026-06-26,88000.0,C,0.2776719298032803,74436.85,0.4788,0.47240000000000004,0.4779,0.0417,41.7,2.8,1.182210155319576
BTC-26JUN26-90000-C,BTC,2026-06-26,90000.0,C,0.2776719168631645,74437.36,0.47740000000000005,0.4717,0.4775,0.036,3969.2,104.6,1.2090702840616594
BTC-26JUN26-95000-C,BTC,2026-06-26,95000.0,C,0.27767190505738715,74437.36,0.4765,0.46990000000000004,0.4768,0.025,1469.0,15.3,1.2762408553984181
