date,expiry,T,heston_v0,heston_kappa,heston_theta,heston_sigma_v,heston_rho,heston_rmse,sabr_rmse,js_rmse
2024-08-09,2024-08-16,0.0192,0.3905,7.975,0.0001,5.0,-0.1318,0.022174,0.014697,0.014703
2024-08-09,2024-08-30,0.0575,0.3671,8.0012,0.1131,0.0001,-0.2567,0.025292,0.009043,0.008952
2024-08-09,2024-08-23,0.0383,0.3892,7.9706,0.0001,3.737,-0.2276,0.007012,0.007297,0.007042
2024-08-09,2024-09-27,0.1342,0.5315,7.9602,0.0227,2.6873,-0.0395,0.009424,0.009497,0.009497
2024-08-16,2024-11-08,0.23,0.3993,1.0026,0.1048,0.956,0.1775,0.003623,0.003825,0.001602
2024-08-16,2024-12-27,0.3641,0.1097,7.9989,0.5076,1.0193,0.3508,0.001444,0.001064,0.001084
2024-08-16,2024-09-27,0.115,0.4767,7.9366,0.0079,2.3964,-0.072,0.004389,0.007473,0.004153
2024-08-16,2024-10-25,0.1916,0.1067,7.9992,0.4901,1.0244,0.356,0.002608,0.002565,0.00257
2024-08-16,2024-08-30,0.0383,0.2072,7.9572,0.8709,5.0,-0.0906,0.01606,0.014064,0.013265
2024-08-16,2024-08-23,0.0192,0.3077,0.465,0.0001,5.0,-0.1122,0.035101,0.019132,0.019132
2024-08-16,2024-09-06,0.0575,0.3761,7.9686,0.0038,3.5058,-0.1575,0.003574,0.003126,0.002901
2024-08-23,2024-12-27,0.345,0.3933,0.9969,0.4956,1.0221,0.1259,0.003987,0.003168,0.00317
2024-08-23,2024-10-25,0.1725,0.5269,7.9251,0.0978,2.396,-0.0531,0.006015,0.005977,0.005805
2024-08-23,2024-09-27,0.0958,0.0442,7.9536,0.926,3.6792,-0.0955,0.005526,0.005294,0.005295
2024-08-23,2024-11-08,0.2108,0.4063,1.0019,0.1043,0.9603,0.2184,0.003067,0.003006,0.002997
2024-08-23,2024-09-06,0.0383,0.0159,8.0035,1.7947,4.8832,-0.0675,0.009307,0.00739,0.005248
2024-08-23,2024-09-13,0.0575,0.3418,7.9565,0.0001,2.4467,-0.0603,0.005647,0.004858,0.004155
2024-08-30,2024-11-29,0.2491,0.3771,0.9959,0.0972,0.3898,0.5888,0.001832,0.001767,0.001769
2024-08-30,2024-09-06,0.0192,0.1689,8.352,0.9009,5.0,0.019,0.02458,0.011927,0.005488
2024-08-30,2024-09-13,0.0383,0.1025,8.0021,1.2052,5.0,-0.1654,0.011344,0.009032,0.009033
2024-08-30,2024-09-20,0.0575,0.0043,8.0252,1.36,4.4897,-0.092,0.009003,0.008305,0.008301
2024-08-30,2024-09-27,0.0767,0.1319,7.9425,0.7765,4.3095,-0.1626,0.003453,0.003031,0.003256
2024-08-30,2024-10-25,0.1533,0.0958,8.0008,0.5081,0.9841,0.2489,0.00485,0.002192,0.00551
2024-08-30,2024-11-08,0.1916,0.3801,0.9989,0.0958,1.0301,0.0961,0.002261,0.002498,0.002514
2024-08-30,2024-12-27,0.3258,0.3803,0.999,0.496,1.0051,0.0152,0.002308,0.002776,0.002159
2024-09-06,2024-12-27,0.3066,0.4021,0.9991,0.4996,1.0069,-0.0751,0.004058,0.003575,0.003585
